fit,ok,monotonic,b_at_bound,N_max,N_max_err,b_per_bar,b_err,K_mol_kg_bar,K_err_mol_kg_bar,K_mol_kg_Pa,K_err_mol_kg_Pa,chi2_red,n_points
experiment_Bourrelly2005,True,True,False,12.183189986912263,0.06911410974072525,0.21387977434140343,0.00606875985305283,2.6057379251592403,0.05978983483742817,2.6057379251592405e-05,5.978983483742817e-07,0.49400170053565784,12
simulation_excess,False,False,True,10.654810728113452,0.48849402349286863,2999.999999969523,7296277.645733211,31964.432184015626,77739160.5551579,0.3196443218401563,777.3916055515791,525.2729240183247,4
