molecule,p_Pa,T_K_ours,fugacity_coeff_ours,absolute_molec_uc_ours,absolute_molec_uc_err95_ours,absolute_mol_kg_ours,absolute_mol_kg_err95_ours,excess_mol_kg_ours,excess_mol_kg_err95_ours,acc_insertion_ours,acc_deletion_ours,cycles_init_ours,cycles_prod_ours,finished_ours,T_K_ref,fugacity_coeff_ref,absolute_molec_uc_ref,absolute_molec_uc_err95_ref,absolute_mol_kg_ref,absolute_mol_kg_err95_ref,excess_mol_kg_ref,excess_mol_kg_err95_ref,acc_insertion_ref,acc_deletion_ref,cycles_init_ref,cycles_prod_ref,finished_ref,delta_molec_uc,tol_molec_uc,pass
methane,10000.0,300.0,0.9997824925,0.34848,0.0086196476,0.0604151082,0.0014943668,0.0597677453,0.0014943668,0.330280952342869,0.33120528696544865,5000,25000,True,300.0,0.9997824925,0.34815,0.0102635303,0.0603578969,0.0017793626,0.059710534,0.0017793626,0.3317549949610481,0.33127266337598443,5000,25000,True,0.00032999999999999696,0.013402924269248256,True
methane,100000.0,300.0,0.9978285867,2.863345,0.0422933155,0.4964109787,0.0073322866,0.4899246694,0.0073322866,0.29941437830346346,0.29888705772243584,5000,25000,True,300.0,0.9978285867,2.897545,0.0326619316,0.5023401474,0.0056625176,0.495853838,0.0056625176,0.29932848987368094,0.3007717453577326,5000,25000,True,-0.03420000000000023,0.0534371248461743,True
