term,RASPA [K],LAMMPS [K],diff [K],rel. diff
host-guest LJ (no tail),-17916.90036258,-17916.898609746288,0.0017528337120893411,9.783130321750231e-08
"host-guest Coulomb, real space",386.0353134,19673.44614701136,19287.41083361136,49.96281470660751
"host-guest Coulomb, reciprocal",3.70851492,-19283.578511125987,-19287.287026045986,-5200.811495197109
"host-guest Coulomb, TOTAL",389.74382832000003,389.8676358853736,0.12380756537356774,0.00031766395354416044
guest-guest LJ (no tail),-500.85215979,-500.85214692324297,1.2866757003848761e-05,2.568973049700655e-08
"guest-guest Coulomb, TOTAL",522.26296056,521.8420595704811,-0.42090098951894106,-0.0008059177489202511
"tail correction, host-guest + guest-guest",-646.31862215,-646.3186204317924,1.718207613521372e-06,2.6584528971263404e-09
TOTAL interaction energy (LJ + Coulomb + tail),-18152.06435564,-18152.35968164547,-0.2953260054709972,-1.6269554783681498e-05
