p_bar,RASPA_molec_uc,RASPA_err95,LAMMPS_molec_uc,LAMMPS_err95,LAMMPS_samples,delta,tolerance,pass,drift_last_minus_first_block,not_equilibrated,RASPA_mol_kg,LAMMPS_mol_kg,LAMMPS_G_per_A,LAMMPS_kmax1d,LAMMPS_kvectors,RASPA_alpha_per_A,RASPA_kvec,sd_N_uc_RASPA,sd_N_uc_LAMMPS
10.0,9.12681125,0.0526126775,9.076041666666667,0.11035199193746366,240,-0.05076958333333259,0.12225242720815424,False,-0.12369791666666785,True,10.9642514738,10.903265398469113,0.27572941,10,1438,0.265058,7 9 7,0.1953491758494274,0.09641295819375552
20.0,9.6040025,0.0380251379,9.52109375,0.04211261056163614,240,-0.08290874999999964,0.05673960768836919,False,-0.06901041666666785,True,11.5375124653,11.43791708462726,0.27576111,10,1438,0.265058,7 9 7,0.20770644318461584,0.0467396931392254
30.0,9.79968125,0.0423501776,9.423177083333334,0.04726681041901915,240,-0.37650416666666686,0.06346407574320324,False,-0.03515625,False,11.7725859169,11.32028745677737,0.27575318,10,1438,0.265058,7 9 7,0.1888325961498355,0.05549025410899551
